initialized 256 sized buffer with EMPTY CTOR
printing array: 
buf[0] = 1
buf[1] = 2
buf[2] = 3
buf[3] = 4
buf[4] = 5
buf[5] = 6
buf[6] = 7
buf[7] = 8
buf[8] = 9
buf[9] = 10
buf[10] = 11
buf[11] = 12
buf[12] = 13
buf[13] = 14
buf[14] = 15
buf[15] = 16
buf[16] = 17
buf[17] = 18
buf[18] = 19
buf[19] = 20
buf[20] = 21
buf[21] = 22
buf[22] = 23
buf[23] = 24
buf[24] = 25
buf[25] = 26
buf[26] = 27
buf[27] = 28
buf[28] = 29
buf[29] = 30
buf[30] = 31
buf[31] = 32
buf[32] = 33
buf[33] = 34
buf[34] = 35
buf[35] = 36
buf[36] = 37
buf[37] = 38
buf[38] = 39
buf[39] = 40
buf[40] = 41
buf[41] = 42
buf[42] = 43
buf[43] = 44
buf[44] = 45
buf[45] = 46
buf[46] = 47
buf[47] = 48
buf[48] = 49
buf[49] = 50
buf[50] = 51
buf[51] = 52
buf[52] = 53
buf[53] = 54
buf[54] = 55
buf[55] = 56
buf[56] = 57
buf[57] = 58
buf[58] = 59
buf[59] = 60
buf[60] = 61
buf[61] = 62
buf[62] = 63
buf[63] = 64
buf[64] = 65
buf[65] = 66
buf[66] = 67
buf[67] = 68
buf[68] = 69
buf[69] = 70
buf[70] = 71
buf[71] = 72
buf[72] = 73
buf[73] = 74
buf[74] = 75
buf[75] = 76
buf[76] = 77
buf[77] = 78
buf[78] = 79
buf[79] = 80
buf[80] = 81
buf[81] = 82
buf[82] = 83
buf[83] = 84
buf[84] = 85
buf[85] = 86
buf[86] = 87
buf[87] = 88
buf[88] = 89
buf[89] = 90
buf[90] = 91
buf[91] = 92
buf[92] = 93
buf[93] = 94
buf[94] = 95
buf[95] = 96
buf[96] = 97
buf[97] = 98
buf[98] = 99
buf[99] = 100
buf[100] = 101
buf[101] = 102
buf[102] = 103
buf[103] = 104
buf[104] = 105
buf[105] = 106
buf[106] = 107
buf[107] = 108
buf[108] = 109
buf[109] = 110
buf[110] = 111
buf[111] = 112
buf[112] = 113
buf[113] = 114
buf[114] = 115
buf[115] = 116
buf[116] = 117
buf[117] = 118
buf[118] = 119
buf[119] = 120
buf[120] = 121
buf[121] = 122
buf[122] = 123
buf[123] = 124
buf[124] = 125
buf[125] = 126
buf[126] = 127
buf[127] = 128
buf[128] = 129
buf[129] = 130
buf[130] = 131
buf[131] = 132
buf[132] = 133
buf[133] = 134
buf[134] = 135
buf[135] = 136
buf[136] = 137
buf[137] = 138
buf[138] = 139
buf[139] = 140
buf[140] = 141
buf[141] = 142
buf[142] = 143
buf[143] = 144
buf[144] = 145
buf[145] = 146
buf[146] = 147
buf[147] = 148
buf[148] = 149
buf[149] = 150
buf[150] = 151
buf[151] = 152
buf[152] = 153
buf[153] = 154
buf[154] = 155
buf[155] = 156
buf[156] = 157
buf[157] = 158
buf[158] = 159
buf[159] = 160
buf[160] = 161
buf[161] = 162
buf[162] = 163
buf[163] = 164
buf[164] = 165
buf[165] = 166
buf[166] = 167
buf[167] = 168
buf[168] = 169
buf[169] = 170
buf[170] = 171
buf[171] = 172
buf[172] = 173
buf[173] = 174
buf[174] = 175
buf[175] = 176
buf[176] = 177
buf[177] = 178
buf[178] = 179
buf[179] = 180
buf[180] = 181
buf[181] = 182
buf[182] = 183
buf[183] = 184
buf[184] = 185
buf[185] = 186
buf[186] = 187
buf[187] = 188
buf[188] = 189
buf[189] = 190
buf[190] = 191
buf[191] = 192
buf[192] = 193
buf[193] = 194
buf[194] = 195
buf[195] = 196
buf[196] = 197
buf[197] = 198
buf[198] = 199
buf[199] = 200
buf[200] = 201
buf[201] = 202
buf[202] = 203
buf[203] = 204
buf[204] = 205
buf[205] = 206
buf[206] = 207
buf[207] = 208
buf[208] = 209
buf[209] = 210
buf[210] = 211
buf[211] = 212
buf[212] = 213
buf[213] = 214
buf[214] = 215
buf[215] = 216
buf[216] = 217
buf[217] = 218
buf[218] = 219
buf[219] = 220
buf[220] = 221
buf[221] = 222
buf[222] = 223
buf[223] = 224
buf[224] = 225
buf[225] = 226
buf[226] = 227
buf[227] = 228
buf[228] = 229
buf[229] = 230
buf[230] = 231
buf[231] = 232
buf[232] = 233
buf[233] = 234
buf[234] = 235
buf[235] = 236
buf[236] = 237
buf[237] = 238
buf[238] = 239
buf[239] = 240
buf[240] = 241
buf[241] = 242
buf[242] = 243
buf[243] = 244
buf[244] = 245
buf[245] = 246
buf[246] = 247
buf[247] = 248
buf[248] = 249
buf[249] = 250
buf[250] = 251
buf[251] = 252
buf[252] = 253
buf[253] = 254
buf[254] = 255
buf[255] = 256

initialized 1024 sized buffer with SIZE PARAM CTOR
printing array: 
buf[0] = 1
buf[1] = 2
buf[2] = 3
buf[3] = 4
buf[4] = 5
buf[5] = 6
buf[6] = 7
buf[7] = 8
buf[8] = 9
buf[9] = 10
buf[10] = 11
buf[11] = 12
buf[12] = 13
buf[13] = 14
buf[14] = 15
buf[15] = 16
buf[16] = 17
buf[17] = 18
buf[18] = 19
buf[19] = 20
buf[20] = 21
buf[21] = 22
buf[22] = 23
buf[23] = 24
buf[24] = 25
buf[25] = 26
buf[26] = 27
buf[27] = 28
buf[28] = 29
buf[29] = 30
buf[30] = 31
buf[31] = 32
buf[32] = 33
buf[33] = 34
buf[34] = 35
buf[35] = 36
buf[36] = 37
buf[37] = 38
buf[38] = 39
buf[39] = 40
buf[40] = 41
buf[41] = 42
buf[42] = 43
buf[43] = 44
buf[44] = 45
buf[45] = 46
buf[46] = 47
buf[47] = 48
buf[48] = 49
buf[49] = 50
buf[50] = 51
buf[51] = 52
buf[52] = 53
buf[53] = 54
buf[54] = 55
buf[55] = 56
buf[56] = 57
buf[57] = 58
buf[58] = 59
buf[59] = 60
buf[60] = 61
buf[61] = 62
buf[62] = 63
buf[63] = 64
buf[64] = 65
buf[65] = 66
buf[66] = 67
buf[67] = 68
buf[68] = 69
buf[69] = 70
buf[70] = 71
buf[71] = 72
buf[72] = 73
buf[73] = 74
buf[74] = 75
buf[75] = 76
buf[76] = 77
buf[77] = 78
buf[78] = 79
buf[79] = 80
buf[80] = 81
buf[81] = 82
buf[82] = 83
buf[83] = 84
buf[84] = 85
buf[85] = 86
buf[86] = 87
buf[87] = 88
buf[88] = 89
buf[89] = 90
buf[90] = 91
buf[91] = 92
buf[92] = 93
buf[93] = 94
buf[94] = 95
buf[95] = 96
buf[96] = 97
buf[97] = 98
buf[98] = 99
buf[99] = 100
buf[100] = 101
buf[101] = 102
buf[102] = 103
buf[103] = 104
buf[104] = 105
buf[105] = 106
buf[106] = 107
buf[107] = 108
buf[108] = 109
buf[109] = 110
buf[110] = 111
buf[111] = 112
buf[112] = 113
buf[113] = 114
buf[114] = 115
buf[115] = 116
buf[116] = 117
buf[117] = 118
buf[118] = 119
buf[119] = 120
buf[120] = 121
buf[121] = 122
buf[122] = 123
buf[123] = 124
buf[124] = 125
buf[125] = 126
buf[126] = 127
buf[127] = 128
buf[128] = 129
buf[129] = 130
buf[130] = 131
buf[131] = 132
buf[132] = 133
buf[133] = 134
buf[134] = 135
buf[135] = 136
buf[136] = 137
buf[137] = 138
buf[138] = 139
buf[139] = 140
buf[140] = 141
buf[141] = 142
buf[142] = 143
buf[143] = 144
buf[144] = 145
buf[145] = 146
buf[146] = 147
buf[147] = 148
buf[148] = 149
buf[149] = 150
buf[150] = 151
buf[151] = 152
buf[152] = 153
buf[153] = 154
buf[154] = 155
buf[155] = 156
buf[156] = 157
buf[157] = 158
buf[158] = 159
buf[159] = 160
buf[160] = 161
buf[161] = 162
buf[162] = 163
buf[163] = 164
buf[164] = 165
buf[165] = 166
buf[166] = 167
buf[167] = 168
buf[168] = 169
buf[169] = 170
buf[170] = 171
buf[171] = 172
buf[172] = 173
buf[173] = 174
buf[174] = 175
buf[175] = 176
buf[176] = 177
buf[177] = 178
buf[178] = 179
buf[179] = 180
buf[180] = 181
buf[181] = 182
buf[182] = 183
buf[183] = 184
buf[184] = 185
buf[185] = 186
buf[186] = 187
buf[187] = 188
buf[188] = 189
buf[189] = 190
buf[190] = 191
buf[191] = 192
buf[192] = 193
buf[193] = 194
buf[194] = 195
buf[195] = 196
buf[196] = 197
buf[197] = 198
buf[198] = 199
buf[199] = 200
buf[200] = 201
buf[201] = 202
buf[202] = 203
buf[203] = 204
buf[204] = 205
buf[205] = 206
buf[206] = 207
buf[207] = 208
buf[208] = 209
buf[209] = 210
buf[210] = 211
buf[211] = 212
buf[212] = 213
buf[213] = 214
buf[214] = 215
buf[215] = 216
buf[216] = 217
buf[217] = 218
buf[218] = 219
buf[219] = 220
buf[220] = 221
buf[221] = 222
buf[222] = 223
buf[223] = 224
buf[224] = 225
buf[225] = 226
buf[226] = 227
buf[227] = 228
buf[228] = 229
buf[229] = 230
buf[230] = 231
buf[231] = 232
buf[232] = 233
buf[233] = 234
buf[234] = 235
buf[235] = 236
buf[236] = 237
buf[237] = 238
buf[238] = 239
buf[239] = 240
buf[240] = 241
buf[241] = 242
buf[242] = 243
buf[243] = 244
buf[244] = 245
